Oración Original,Oración Modificada,Paráfrasis
El auto rojo tiene una raya negra.,El coche rojo tiene una raya blanca.,False
La casa tiene ventanas grandes.,La casa posee ventanas pequeñas.,False
El árbol crece lentamente.,El árbol se desarrolla rápidamente.,False
El perro se sienta cuando le dicen.,El perro se acuesta cuando le dicen.,False
La gata se esconde debajo del sofá.,La gata se muestra debajo del sofá.,False
El niño juega fútbol en el parque.,El niño estudia en el parque.,False
La niña canta en el coro de la escuela.,La niña baila en el coro de la escuela.,False
El auto rojo necesita gasolina.,El coche rojo necesita electricidad.,False
La casa tiene un jardín en el patio trasero.,La casa posee un jardín en el patio delantero.,False
El árbol da sombra en verano.,El árbol da frutos en verano.,False
El perro ladra a los extraños.,El perro ladra a los perros.,False
La gata juega con una bola de lana.,La gata juega con una bola de hilo.,False
El niño come helado.,El niño come ensalada.,False
La niña canta una canción.,La niña lee un libro.,False
El auto rojo se estaciona.,El coche rojo se va.,False
La casa tiene un tejado de tejas.,La casa tiene un tejado de metal.,False
El árbol pierde sus hojas en otoño.,El árbol crece sus hojas en otoño.,False
El perro persigue al gato.,El perro juega con el gato.,False
La gata maulla en la noche.,La gata duerme en la noche.,False
El niño juega con sus amigos.,El niño estudia con sus amigos.,False
La niña estudia en la biblioteca.,La niña juega en la biblioteca.,False
El auto rojo tiene una raya negra.,El coche rojo tiene una raya azul.,False
La casa tiene ventanas grandes.,La casa tiene ventanas pequeñas.,False
El árbol crece lentamente.,El árbol se desarrolla rápidamente.,False
El perro se sienta cuando le dicen.,El perro corre cuando le dicen.,False
La gata se esconde debajo del sofá.,La gata salta debajo del sofá.,False
El niño juega fútbol en el parque.,El niño corre en el parque.,False
La niña canta en el coro de la escuela.,La niña estudia en el coro de la escuela.,False
El auto rojo necesita gasolina.,El coche rojo necesita aire.,False
La casa tiene un jardín en el patio trasero.,La casa tiene un jardín en el patio delantero.,False
El árbol da sombra en verano.,El árbol da frutos en verano.,False
El perro ladra a los extraños.,El perro juega con los extraños.,False
La gata juega con una bola de lana.,La gata juega con una bola de papel.,False
El niño come helado.,El niño come frutas.,False
La niña canta una canción.,La niña baila una canción.,False
El auto rojo se estaciona.,El coche rojo se va.,False
La casa tiene un tejado de tejas.,La casa tiene un tejado de paja.,False
El árbol pierde sus hojas en otoño.,El árbol crece sus hojas en otoño.,False
El perro persigue al gato.,El perro juega con el gato.,False
La gata maulla en la noche.,La gata duerme en la noche.,False
El niño juega con sus amigos.,El niño estudia con sus amigos.,False
La niña estudia en la biblioteca.,La niña juega en la biblioteca.,False
El auto rojo tiene una raya negra.,El coche rojo tiene una raya azul.,False
La casa tiene ventanas grandes.,La casa tiene ventanas pequeñas.,False
El árbol crece lentamente.,El árbol se desarrolla rápidamente.,False
El perro se sienta cuando le dicen.,El perro corre cuando le dicen.,False
El perro se sienta cuando le dicen.,El perro corre cuando le dicen.,False
